Name,CA,PA,PA Min,PA Max
Jaime Vázquez Cuervo-Arango,71,-85,140,170
James John McAtee,125,-85,140,170
Jamie Bynoe-Gittens,126,-85,140,170
Jamie Donley,107,-85,140,170
Jason van Duiven,115,-85,140,170
Jevon Simons,102,-85,140,170
Jonah Kusi-Asare,95,-85,140,170
Jude Soonsup-Bell,100,-85,140,170
Julen Jon Guerrero Landabaso,98,-85,140,170
Julio César Enciso Espínola,135,-85,140,170
Kadan Young,90,-85,140,170
Kaide Sheene Gordon,95,-85,140,170
Kaiky Fernandes Melo,125,-85,140,170
Kees Smit,95,-85,140,170
Kenan Yıldız,110,-85,140,170
Kenneth Ina Dorothea Taylor,137,-85,140,170
Kobbie Boateng Mainoo,126,-85,140,170
Leny Yoro,113,-85,140,170
Leopold Querfeld,118,-85,140,170
Lesley Chimuanya Ugochukwu,114,-85,140,170
Levi Lemar Samuels-Colwill,141,170,170,170
Lewis Miley,116,-85,140,170
Luca Lipani,111,-85,140,170
Lucas Cañizares Conchello,108,-85,140,170
Lucas Erik Holger Bergvall,99,-85,140,170
Lucas Gourna-Douath,127,-85,140,170
Lucas Jetten,88,-85,140,170
Lucas Lopes Beraldo,129,-85,140,170
Luis Hasa,92,-85,140,170
Luka Vušković,92,-85,140,170
Malo Gusto,130,-85,140,170
Marc Bernal Casas,95,-85,140,170
Marcus Vinícius Oliveira Alencar,123,-85,140,170
Martim Moreira Moutinho Fernandes,86,-85,140,170
Martin Baturina,129,-85,140,170
Martin Vitík,119,-85,140,170
Mateus Gonçalo Espanha Fernandes,114,-85,140,170
Matheus França de Oliveira,123,-85,140,170
Matheus Gonçalves Martins,113,-85,140,170
Mathis Lambourde,99,-85,140,170
Matìas Soulé Malvano,126,-85,140,170
Matteo Prati,113,-85,140,170
Maurits Kjærgaard,128,-85,140,170
Miloš Kerkez,130,-85,140,170
Mohamed El Arouch,110,-85,140,170
Mouhamadou Diarra,115,-85,140,170
Mudryk Mykhaylo Petrovych,143,170,170,170
Myles Anthony Lewis-Skelly,102,-85,140,170
Naci Ünüvar,121,-85,140,170
Nestory Irankunda,103,-85,140,170
Nicolás Paz Martínez,106,-85,140,170
Nikolas Sattlberger,117,-85,140,170
Oliver Lukic,94,-85,140,170
Omari Jamian Kellyman,99,-85,140,170
Óscar Manuel Cortés Cortés,108,-85,140,170
Pablo Barrios Rivas,131,-85,140,170
Pablo Torre Carral,130,-85,140,170
Patrick Chinazaekpere Dorgu,117,-85,140,170
Patryck Lanza dos Reis,105,-85,140,170
Pau Cubarsí Paredes,95,-85,140,170
Pau Sans López,93,-85,140,170
Rafael Filipe Gonçalves Soares Luís,102,-85,140,170
Rayane Bounida,95,-85,140,170
Riquelme Fillipi Marinho de Souza,73,-85,140,170
Robert Renan Alves Barbosa,123,-85,140,170
Rome-Jayden Owusu-Oduro,105,-85,140,170
Roony Bardghji,124,-85,140,170
Saint-Cyr Johan Bakayoko,129,-85,140,170
Samuel Charles Braybrooke,110,-85,140,170
Samuel Christian Osaze K O Amo-Ameyaw,104,-85,140,170
Samuel Omorodion Aghehowa,120,-85,140,170
Samuele Vignato,112,-85,140,170
Sávio Moreira de Oliveira,132,-85,140,170
Sergey Pinyaev,119,-85,140,170
Silvano Cliff Robbie Vos,103,-85,140,170
Sivert Heggheim Mannsverk,135,-85,140,170
Skye Vink,90,-85,140,170
Stanis Idumbo Muzambo,106,-85,140,170
Sudakov Heorhii Viktorovych,130,-85,140,170
Talles Magno Bacelar Martins,129,-85,140,170
Talles Wander Santos Ribeiro,98,-85,140,170
Tanguy-Austin Nianzou Kouassi,134,-85,140,170
Thiago Ezequiel Almada,140,-85,140,170
Tom Bischof,108,-85,140,170
Trevan Sanusi,75,-85,140,170
Tygo Land,106,-85,140,170
Valentín Carboni,112,-85,140,170
Vasco José Cardoso Sousa,110,-85,140,170
Victor Ehuwa Eletu,93,-85,140,170
Will Lankshear,95,-85,140,170
Williot Theo Swedberg,123,-85,140,170
Yankuba Minteh,125,-85,140,170
Yunus Dimoara Musah,134,-85,140,170
Zeno Koen Debast,119,-85,140,170
Ryan Jiro Gravenberch,141,169,169,169
Jérémy Doku,145,168,168,168
Rico Mark Lewis,136,167,167,167
Strahinja Pavlović,133,167,167,167
Trubin Anatolii Volodymyrovych,145,167,167,167
Danilo dos Santos de Oliveira,134,166,166,166
Gonçalo Matias Ramos,150,166,166,166
Michael Akpovie Olise,142,166,166,166
Pape Matar Sarr,138,166,166,166
Piero Martín Hincapié Reyna,136,166,166,166
Aaron Buchanan Hickey,139,165,165,165
Bart Verbruggen,131,165,165,165
Chukwunonso Tristan Madueke,139,165,165,165
Javier Guerra Moreno,139,165,165,165
Karim David Adeyemi,143,165,165,165
Lazar Vujadin Samardžić,146,165,165,165
Zabarnyi Illia Borysovych,132,165,165,165
Alejandro Baena Rodríguez,143,164,164,164
Harvey Elliott,145,164,164,164
Jeremie Agyekum Frimpong,146,164,164,164
Sepe Elye Wahi,134,164,164,164
André Trindade da Costa Neto,140,163,163,163
Benoît Badiashile Mukinayi,147,163,163,163
Khephren Thuram-Ulien,140,163,163,163
Kouadio Emmanuel Koné,138,163,163,163
Malick Laye Thiaw,145,163,163,163
Brennan Price Johnson,135,162,162,162
Gonçalo Bernardo Inácio,142,162,162,162
Joris Chotard,130,162,162,162
Mohammed Kudus,149,162,162,162
Nathan Patterson,134,162,162,162
Nicolas Jackson,146,162,162,162
Nicolò Rovella,137,162,162,162
Abdessamad Ezzalzouli,139,161,161,161
Billy Clifford Gilmour,138,161,161,161
Charles Marc De Ketelaere,144,161,161,161
Degnand Wilfried Gnonto,132,161,161,161
Flavien-Enzo Boyomo,129,161,161,161
Giorgi Mamardashvili,145,161,161,161
João Victor Gomes da Silva,130,161,161,161
Lucas Chevalier,125,161,161,161
Luka Sučić,130,161,161,161
Micky van de Ven,147,161,161,161
Nicolò Fagioli,143,161,161,161
Aaron Ciammaglichella,89,-8,130,160
Abakar Loubadhe Sylla,125,-8,130,160
Abdoul Karim Camara,94,-8,130,160
Abdoul Ouattara,80,-8,130,160
Abdoullah Mustapha Ba,115,-8,130,160
Abdul Fatawu Issahaku,125,-8,130,160
Adam Karabec,115,-8,130,160
Adiele Eriugo,86,-8,130,160
Adrián Arnuncio Baquerín,70,-8,130,160
Adrián Corral Alciturri,92,-8,130,160
Adrian Mazilu,107,-8,130,160
Agustín Fabián Ruberto,95,-8,130,160
Agustín Giay,125,-8,130,160
Ahmetcan Kaplan,110,-8,130,160
Aidan Borland,75,-8,130,160
Aimar Vicandi Alzola,95,-8,130,160
Alan Matturro Romero,120,-8,130,160
Alan Virginius,106,-8,130,160
Alejandro Martín Sapeg,62,-8,130,160
Alejandro Pérez Adam,85,-8,130,160
Alejo Veliz,125,-8,130,160
Aleksander Hammer Kjelsen,95,-8,130,160
Alessandro Circati,123,-8,130,160
Alessandro Nunziante,70,-8,130,160
Àlex Valle Gómez,118,-8,130,160
Alexander Lowry,111,-8,130,160
Alexander Murillo Albert,86,-8,130,160
Alexandr Kovalenko,112,-8,130,160
Alexis Ronaldo Tibidi,114,-8,130,160
Alexsander Cristhian Gomes da Costa,120,-8,130,160
Alfie J.J. Harrison,70,-8,130,160
Alioune Badara Baldé,120,-8,130,160
Allen Aldair Obando Ayoví,94,-8,130,160
Amadou Zeund Georges Ba Mvom Onana,136,160,160,160
Amario Cozier-Duberry,99,-8,130,160
Amourrichio Jahvairo Déshauntino Van Axel Dongen,113,-8,130,160
André Filipe Machado Gomes,80,-8,130,160
Andreas Rædergård Schjelderup,129,160,160,160
Andrei Sebastian Borza,102,-8,130,160
Andrés Josué Romero Tocuyo,111,-8,130,160
Andrew Moran,118,-8,130,160
Andrija Maksimović,90,-8,130,160
Andy Alune Diouf,122,-8,130,160
Ángel Alarcón Galiot,110,-8,130,160
Archie Stevens,68,-8,130,160
Ariel Nkoghe Ncara,64,-8,130,160
Arijon Ibrahimović,105,-8,130,160
Arlet Junior Zé,95,-8,130,160
Armando Broja,135,160,160,160
Arnau Tenas Ureña,135,160,160,160
Artem Sokolov,102,-8,130,160
Arthur Wenderrosky Sanches,97,-8,130,160
Assane Diao Diaoune,112,-8,130,160
Aurèle Florian Amenda,119,-8,130,160
Avery Appiah,95,-8,130,160
Aymen Sliti,90,-8,130,160
Bailey Rice,85,-8,130,160
Bartosz Żelazowski,70,-8,130,160
Batuhan Zidan Sertdemir,90,-8,130,160
Benjamin Cremaschi,105,-8,130,160
Benjamin Göschl,94,-8,130,160
Benjamin Tahirović,118,-8,130,160
Björn Menzo,86,-8,130,160
Bobby Lamont Clark,92,-8,130,160
Borja Cortina Carbonell,70,-8,130,160
Bradel Kiwa,80,-8,130,160
Brajan Gruda,112,-8,130,160
Breno de Souza Bidon,94,-8,130,160
Brian Adriano Ogechukwu Onyegbule,91,-8,130,160
Brian Ebenezer Adjei Brobbey,130,-8,130,160
Brian Nicolás Aguirre,123,-8,130,160
Bruno Iglesias Lois,111,-8,130,160
Bruno Zapelli,125,-8,130,160
Bryan Alonso González Olivan,95,-8,130,160
Bryan Mateo Caicedo,88,-8,130,160
Callan McKenna,85,-8,130,160
Callum James Hudson-Odoi,140,160,160,160
Callum Latif Olusesi,75,-8,130,160
Calvin Ramsay,113,-8,130,160
Cameron Humphreys,109,-8,130,160
Can Yilmaz Uzun,104,-8,130,160
Carles Llario Moscardó,83,-8,130,160
Carlos Andrés Gómez Hinestroza,117,-8,130,160
Carlos Jonás Alcaraz,130,-8,130,160
César Palacios Pérez,102,-8,130,160
Charlie Cresswell,120,-8,130,160
Charlie McArthur,81,-8,130,160
Charlie Terrence Setford,90,-8,130,160
Cher Ndour,110,-8,130,160
Chris Brady,110,-8,130,160
Christian Andrey Mosquera Ibargüen,118,-8,130,160
Christian McFarlane,86,-8,130,160
Christopher Bonsu Baah,104,-8,130,160
Christos Zafeiris,117,-8,130,160
Coniah Boyce-Clarke,98,-8,130,160
Conor Bradley,122,-8,130,160
Cristian Volpato,121,-8,130,160
Cruz Medina,88,-8,130,160
Curtis Julian Jones,148,160,160,160
Daniel Dememenge Daga,86,-8,130,160
Daniel Joshua Bassi Jakobsen,104,-8,130,160
Daniel Kelly,94,-8,130,160
Daniel Lewis Gore,118,-8,130,160
Daniel Pérez Guerrero,90,-8,130,160
Daniil Khudyakov,110,-8,130,160
Daouda Guindo,122,-8,130,160
Dário Cassia Luís Essugo,107,-8,130,160
Dave Kwakman,98,-8,130,160
David Ikechukwu Ozoh,92,-8,130,160
David Kalokoh,107,-8,130,160
David Mella Boullón,100,-8,130,160
Davide Bartesaghi,96,-8,130,160
Devyne Fabian Jairo Rensch,130,-8,130,160
Diego Coppola,120,-8,130,160
Diego Martinez Pérez,60,-8,130,160
Diego Rambocus,85,-8,130,160
Diego Valentín Gómez,124,-8,130,160
Dinis Telehovschi,78,-8,130,160
Diogo Carvalho Pinto,88,-8,130,160
Diogo Filipe Pacheco Abreu,88,-8,130,160
Diogo Filipe Spencer Marques,102,-8,130,160
Diogo Martins Travassos,100,-8,130,160
Duarte Miguel Abrantes Nogueira,73,-8,130,160
Edan Diop,104,-8,130,160
Eduardo Manuel Freitas Monteiro Ferreira Felicíssimo,75,-8,130,160
Efe Akman,85,-8,130,160
Elio Rufener,84,-8,130,160
Elyaz Zidane Fernández,74,-8,130,160
Eman Kospo,90,-8,130,160
Emanuel Benjamin de Santana Balbinot,59,-8,130,160
Emmanuel Michael,97,-8,130,160
Emmanuel van de Blaak,104,-8,130,160
Emran Soglo,88,-8,130,160
Emre Gökay,80,-8,130,160
Emre Tezgel,85,-8,130,160
Enoch Mayele Kiemba Mastoras,92,-8,130,160
Enoch Owusu,84,-8,130,160
Erik Vázquez Granados,60,-8,130,160
Ethan James Laidlaw,85,-8,130,160
Ethan Mbappé Lottin,88,-8,130,160
Everardo López Del Villar,82,-8,130,160
Fabio Blanco Gómez,115,-8,130,160
Fabio Cristian Chiarodia,105,-8,130,160
Fabricio Díaz Badaracco,125,-8,130,160
Facundo Daniel Kruspzky,120,-8,130,160
Facundo González Molino,106,-8,130,160
Faniel Temesgen Tewelde,94,-8,130,160
Federico Accornero,111,-8,130,160
Federico Redondo Solari,122,-8,130,160
Felix Kalu Nmecha,140,160,160,160
Fermín López Marín,120,-8,130,160
Ferrán Quetglás Lorente,94,-8,130,160
Filip Bundgaard,118,-8,130,160
Filip Jörgensen,139,160,160,160
Filip Rejczyk,94,-8,130,160
Filippo Missori,112,-8,130,160
Filippo Terracciano,124,-8,130,160
Finlay Cartwright,81,-8,130,160
Fodé Fofana,112,-8,130,160
Fodé Sylla,92,-8,130,160
Francisco Fernandes da Conceição,128,-8,130,160
Franco Ezequiel Carboni,117,-8,130,160
Franco González Fernández,125,-8,130,160
Franco Mastantuono,87,-8,130,160
Frederick Reuter,90,-8,130,160
Froilan Díaz,101,-8,130,160
Gabriel Pawel Słonina,114,-8,130,160
Gabriel Pereira dos Santos,115,-8,130,160
Gabriel Veiga Novas,140,160,160,160
Gabriel Vidović,114,-8,130,160
Garang Mawien Kuol,110,-8,130,160
Gavin Okeroghene Bazunu,127,-8,130,160
George Cardinal Joseph Hall,105,-8,130,160
George Ilenikhena,98,-8,130,160
Gerónimo Rivera,120,-8,130,160
Giannis Konstantelias,115,-8,130,160
Gil Pinto Martins,77,-8,130,160
Giovanni Alejandro Reyna,136,160,160,160
Giovanni Fabbian,119,-8,130,160
Gonzalo Escudero,95,-8,130,160
Gonzalo García Torres,101,-8,130,160
Gustavo Adolfo Puerta Molano,109,-8,130,160
Gustavo Filipe Alves Freitas Azevedo Sá,103,-8,130,160
Guy Noël Zohouri,82,-8,130,160
Hákon Arnar Haraldsson,128,-8,130,160
Hannibal Mejbri,127,-8,130,160
Harry John Amass,79,-8,130,160
Harvey Araujo,75,-8,130,160
Harvey Vale,111,-8,130,160
Herbie James,70,-8,130,160
Hindolo Thomas Eric Mustapha,81,-8,130,160
Hugo Barrachina Diloy,73,-8,130,160
Hugo González Sotos,90,-8,130,160
Hugo Sotelo Gómez,120,-8,130,160
Hyunjun Yang,101,-8,130,160
Ian Maatsen,130,-8,130,160
Ibrahim Sulemana Kakari,124,-8,130,160
Idan Toklomati-Gorno,110,-8,130,160
Iggy Houben,95,-8,130,160
Ignacio Tapia,102,-8,130,160
Iker Bravo Solanilla,90,-8,130,160
Iker Muñoz Cameros,121,-8,130,160
Ilyes Housni,101,-8,130,160
Isak Hansen-Aarøen,112,-8,130,160
Ishé Samuels-Smith,90,-8,130,160
Ismaël Doukouré,112,-8,130,160
Ismaël Gharbi Álvarez,108,-8,130,160
Ismaël Kenneth Jordan Koné,119,-8,130,160
Iván Muñoz Pereñíguez,95,-8,130,160
Jaafar Shanishel,60,-8,130,160
Jack Davidson Fletcher,75,-8,130,160
Jack Luca Hinshelwood,103,-8,130,160
Jacobo Ramón Naveros,101,-8,130,160
Jacopo Fazzini,119,-8,130,160
Jaden Slory,107,-8,130,160
Jahkeele Marshall-Rutty,107,-8,130,160
Jair Antonio Collahuazo Vaca,94,-8,130,160
Jair Paula da Cunha Filho,105,-8,130,160
Jakob Napoleon Romsaas,112,-8,130,160
Jamal Ourhris Gonzaga,101,-8,130,160
James David Garner,136,160,160,160
James Harrington Trafford,121,-8,130,160
Jarrad Branthwaite,130,160,160,160
Jasper Hartog,87,-8,130,160
Jay Stansfield,117,-8,130,160
Jayce John Fitzgerald,77,-8,130,160
Jayden Osei Addai,105,-8,130,160
Jaydon Amauri Banel,107,-8,130,160
Jeanuël Belocian,107,-8,130,160
Jenson Danluca Seelt,113,-8,130,160
Jérémy Jacquet,96,-8,130,160
Jerónimo Domina,113,-8,130,160
Jesse Bal,80,-8,130,160
Jesús David Ferreira Castro,126,-8,130,160
Jesús Fortea Tejedo,87,-8,130,160
Jesús Hernández Moreno,88,-8,130,160
Jesús Vázquez Alcalde,123,-8,130,160
Jhon Elmer Solís Romero,108,-8,130,160
Jhon Jader Durán Palacio,117,-8,130,160
Jhon Neid Acurio Ramírez,89,-8,130,160
Jimmy-Jay Morgan,90,-8,130,160
Joachim Kayi Sanda,75,-8,130,160
João António Nascimento Muniz,85,-8,130,160
João Carvalho Fonseca,84,-8,130,160
João Henrique Mendes da Silva,83,-8,130,160
João Miguel Vieira Freitas Silva Marques,122,-8,130,160
João Pedro Arnauth Barrocas Simões,72,-8,130,160
João Pedro Junqueira de Jesus,140,160,160,160
João Pedro Moreira Teixeira,75,-8,130,160
Joel Roca Casals,105,-8,130,160
Joel Tshisanga Ndala,79,-8,130,160
Jon Karrikaburu Jaimerena,123,-8,130,160
Jon Martín Vicente,94,-8,130,160
Jonas Urbig,112,-8,130,160
Jordan Carrillo Rodríguez,109,-8,130,160
Joris Manquant,78,-8,130,160
José David Menargues Manzanarez,105,-8,130,160
José María Arévalo Chaves,65,-8,130,160
Joshua Philip Feeney,102,-8,130,160
Jovan Mijatović,103,-8,130,160
Jovan Milošević,104,-8,130,160
Jovan Šljivić,102,-8,130,160
Juan David Mosquera López,120,-8,130,160
Juan José Pérez Suaza,103,-8,130,160
Juan Larios López,118,-8,130,160
Juan Luis Sánchez Velasco,122,-8,130,160
Juan Sebastián Boselli Graf,129,-8,130,160
Junior Mwanga,123,-8,130,160
Justin Bengui Joao,96,-8,130,160
Justin Diehl,105,-8,130,160
Kacper Kozłowski,110,-8,130,160
Kacper Tobiasz,113,-8,130,160
Kaïl Boudache,85,-8,130,160
Kamal Deen Sulemana,132,-8,130,160
Kauã Elias Nogueira,92,-8,130,160
Kazımcan Karataş,115,-8,130,160
Kerr David Smith,102,-8,130,160
Kevin Zefi,87,-8,130,160
Kevin Zeroli,88,-8,130,160
Kian Franklin Tin Lok Fitz-Jim,109,-8,130,160
Kiano Dyer,84,-8,130,160
Lamine Camara,115,-8,130,160
Leandro Morgalla,109,-8,130,160
Leo Castledine,95,-8,130,160
Leo Sauer,105,-8,130,160
Leo Shahar,70,-8,130,160
Leonidas Stergiou,120,-8,130,160
Lewis Hall,125,-8,130,160
Lewis Schouten,111,-8,130,160
Liam Rory Delap,118,-8,130,160
Linus Jasper Gechter,108,-8,130,160
Livano Comenencia,100,-8,130,160
Luca D'Andrea,116,-8,130,160
Luca Netz,123,-8,130,160
Luca Neu,87,-8,130,160
Luca Warrick KoleoshoLuca Warrick Daeovie Koleosho,129,-8,130,160
Lucas Ayrton Román,110,-8,130,160
Lucas Humberto Assadi Reygadas,112,-8,130,160
Luis Carbonell Artajona,92,-8,130,160
Luís Henrique Tomaz de Lima,128,-8,130,160
Luís Maria Viegas Abreu Campos Gomes,82,-8,130,160
Luiz Guilherme Turatto de Almeida,90,-8,130,160
Luka Braian Andrade,86,-8,130,160
Luka Romero Bezzana,120,-8,130,160
Luka Stojković,110,-8,130,160
Luka Topalović,103,-8,130,160
Luka Vrbančić,103,-8,130,160
Luke Chambers,93,-8,130,160
Luke Harris,93,-8,130,160
MacKenzie Carse,94,-8,130,160
Madi Monamay Nsosemo,85,-8,130,160
Malamine Efekele,100,-8,130,160
Mamadou Sarr,100,-8,130,160
Manuel Bueno Sebastián,110,-8,130,160
Manuel Polster,117,-8,130,160
Marc Guiu Paz,95,-8,130,160
Marc Pubill Pagès,120,-8,130,160
Marcel Ratnik,116,-8,130,160
Marco Nasti,116,-8,130,160
Marco Sousa Cruz,84,-8,130,160
Marcos García Montolío,71,-8,130,160
Marin Šotiček,105,-8,130,160
Mario Peregrina Vargas,85,-8,130,160
Mark Thomas Willem Verkuijl,85,-8,130,160
Marko Milovanović,115,-8,130,160
Marlon Gomes Claudino,117,-8,130,160
Martim Carvalho Neto,114,-8,130,160
Martín Tejón Fauli,85,-8,130,160
Marvin Akahomen,86,-8,130,160
Mason Will John Greenwood,135,160,160,160
Mateus José Iseppe,92,-8,130,160
Matheus Ferreira Gomes,85,-8,130,160
Matheus Martins Silva dos Santos,119,-8,130,160
Matheus Nascimento de Paula,114,-8,130,160
Mathieu Patouillet,95,-8,130,160
Matija Popović,100,-8,130,160
Matthis Abline,115,-8,130,160
Mauro Echegoyen Berrozpe,90,-8,130,160
Max Johnston,107,-8,130,160
Maxim Dekker,115,-8,130,160
Maxime Estève,124,160,160,160
Maximiliano David Ayala,113,-8,130,160
Máximo Perrone,123,-8,130,160
Michael Alessandro Bermúdez Reyes,93,-8,130,160
Michael Golding,82,-8,130,160
Michael Oluwakerede Olakigbe,119,-8,130,160
Michel Augusto Modesto Rafael dos Santos,101,-8,130,160
Miguel Ángel Monsalve González,110,-8,130,160
Miguel Ángel Terceros Acuña,90,-8,130,160
Miguel Carvalho Vianna,80,-8,130,160
Mihajlo Cvetković,89,-8,130,160
Mihajlo Ilić,115,-8,130,160
Mika Marcel Godts,92,-8,130,160
Mikayil Ngor Faye,115,-8,130,160
Mike Kleijn,105,-8,130,160
Million Manhoef,127,-8,130,160
Mohamed Daramy,137,160,160,160
Moriba Korouma Kourouma,125,-8,130,160
Muharem Huskovic,117,-8,130,160
Murray Johnson,85,-8,130,160
Mycael Pontes Moreira,101,-8,130,160
Myron van Brederode,120,-8,130,160
