Inf,Name,UID,Best Pos,Best Role,Best Duty,Pros,Cons,Position,Club,On Loan From,Based,Asking Price,Salary,Expires,Nat,2nd Nat,Home Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Starts,Mins,Mins/Gm,Av Rat,Yth Gls,Yth Apps,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Goals Outside Box,FK Shots,OP-Cr %,Tck A,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,Gl Mst,Hdrs L/90,K Tck/90,K Hdrs/90,Sprints/90,xGP/90,Blk,xG/shot,xGP,Clr/90,Blk/90,Conv %,Crs A/90,Cr C/90,Dist/90,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck/90,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,All/90,Shutouts,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,AT Apps,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Pts/Gm,NP-xG/90,NP-xG,Last Gl,Last C,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps,Won,G. Mis,Lost,D,Gwin,xG/90,xG-OP,xA/90,xA,Cln/90,Mins/Gl,AT Lge Gls,AT Lge Apps,AT Gls,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,decimal_height,decimal_weight
,Dominguês,65001691,AM (C),Attacking Midfielder,Support,Technique,Athleticism,M/AM (RC),UD Songo,,Mozambique (Moçambola),-,"$54,500 p/a",2026-12-31,MOZ,RSA,-,"5'8""",145 lbs,Right,41.0,,Scouting Required,Not for Sale,16,16.0,1440.0,90.0,5.97,,,2.0,0.12,35.0,12.0,0.34,2.19,0.75,0.0,0.0,,0.0,4.36,0.0,,1.0,0.06,0.0,,320.0,20.0,206.0,12.88,0.64,0.0,0.0,,0.0,0.0,0.0,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.12,,0.0,,0.06,0.0,0.0,0.0,,16.0,0.0,0.0,,,,,0.0,12.0,0.75,,14.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,381.0,,0.0,0.0,,0.0,1.0,0.27,4.36,0.0,,,,,,,,0.0,,0.0,16.0,,0.27,-2.36,0.09,1.38,,0.0,52.0,377.0,52.0,,,,,,,,,,,,,,,,,,11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,145
Ask,Julián García,2000254797,M (C),Mezzala,Support,Speed,Marking,M (C),Independiente Santa Fe,,Colombia (Primera A),$49.5K,"$38,000 p/a",2025-12-31,COL,,-,"5'5""",125 lbs,Right,21.0,,Scouting Required,$50K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42,125
,Kwasi Okyere Wriedt,91135686,ST (C),Advanced Forward,Attack,Speed,,ST (C),VfB Oldenburg,,Germany (RL Nord),-,"$106,000 p/a",2026-06-30,GHA,GER,-,"6'2""",180 lbs,Left,31.0,,Scouting Required,Unknown,10 (1),10.0,804.0,143.57,6.79,,1.0,4.0,0.45,24.0,9.0,0.38,2.69,1.01,1.0,1.0,,5.0,2.35,2.0,0.5,1.0,0.11,12.0,1.34,188.0,21.04,164.0,18.36,0.87,14.0,2.0,,9.0,0.0,0.0,0.14,15.0,0.67,0.0,0.0,0.34,3.0,1.68,15.0,8.06,72.0,2.01,19.37,0.34,3.0,0.0,0.0,0.34,3.0,0.0,6.38,0.0,0.0,6.04,,1.0,0.1,,0.22,0.11,0.17,1.57,0.22,0.0,1.01,19.0,61.1,88.0,9.85,31.0,3.47,0.35,0.0,13.0,1.46,,12.0,0.0,0.0,8.0,0.9,2.0,,,,,,,,,,,,0.0,413.0,,2.18,4.03,,10.0,2.45,0.26,2.35,0.0,,,,,,,,2.0,,4.0,5.0,,0.26,1.65,0.21,1.85,,0.0,158.0,409.0,160.0,,,,,,,,,,,,,,,,,,10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17,180
,Aliou Diakité,12078785,M (C),Mezzala,Support,Speed,Marking,"M (C), AM (R)",Réal Bamako,,Mali (Ligue 1 Orange Mali),-,"$11,750 p/a",2027-07-31,MLI,,-,"5'9""",154 lbs,Left Only,27.0,,Scouting Required,Unknown,5,5.0,322.0,126.25,7.1,,,1.0,0.28,5.0,2.0,0.4,1.4,0.56,0.0,0.0,,0.0,0.63,0.0,,0.0,,9.0,2.52,207.0,57.86,183.0,51.15,0.88,1.0,0.0,,2.0,1.0,0.0,0.0,7.0,0.28,0.0,0.0,5.03,18.0,2.52,9.0,9.78,35.0,14.25,10.06,2.52,9.0,0.0,0.0,0.28,1.0,0.0,2.24,0.28,0.0,7.83,,0.0,0.13,,1.12,,0.2,0.28,0.0,0.0,0.56,2.0,27.7,13.0,3.63,5.0,1.4,0.38,1.0,6.0,1.68,,1.0,1.0,0.0,6.0,1.68,4.0,,,,,,,,,,,,0.0,62.0,,4.23,0.69,,9.0,4.75,0.18,0.63,267.0,,,,,,,,3.0,,1.0,1.0,,0.18,0.37,0.11,0.39,,0.0,2.0,40.0,3.0,,,,,,,,,,,,,,,,,,10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,154
,Dramane Traoré,12075846,AM (R),Inside Forward,Support,Speed,Team Player,"M (R), AM (RL)",Réal Bamako,,Mali (Ligue 1 Orange Mali),-,"$6,500 p/a",,MLI,,-,"6'1""",163 lbs,Right,27.0,,Scouting Required,Unknown,4,4.0,360.0,180.0,7.5,,,0.0,,6.0,2.0,0.33,1.5,0.5,0.0,0.0,,0.0,0.62,4.0,1.33,3.0,0.75,8.0,2.0,156.0,39.0,136.0,34.0,0.87,31.0,9.0,,13.0,0.0,0.0,0.98,11.0,0.75,0.0,0.0,6.0,24.0,2.75,11.0,9.0,36.0,4.5,12.75,2.0,8.0,2.25,9.0,7.75,31.0,0.0,3.75,0.0,0.25,12.5,,2.0,0.1,,1.25,0.5,,7.75,2.25,0.0,3.25,7.0,32.7,27.0,6.75,12.0,3.0,0.44,0.0,10.0,2.5,,1.0,0.0,0.0,7.0,1.75,5.0,,,,,,,,,,,,2.0,67.0,,3.0,3.67,,7.0,4.6,0.15,0.62,,,,,,,,,2.0,,1.0,1.0,,0.15,-0.62,0.34,1.34,,,7.0,52.0,7.0,,,,,,,,,,,,,,,,,,13-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,163
,Patrick Atchom,70088295,-,Unknown,Unknown,Unknown,Unknown,D (C),Cotonsport,,Cameroon (Elite One),-,"$8,000 p/a",2027-06-30,CMR,,-,"6'0""",176 lbs,Unknown,32.0,,Scouting Required,Unknown,4 (3),4.0,385.0,155.25,6.59,,,0.0,,3.0,3.0,1.0,0.7,0.7,0.0,0.0,,0.0,0.15,0.0,,0.0,,0.0,,195.0,45.58,153.0,35.77,0.78,0.0,0.0,,1.0,0.0,0.0,,7.0,0.23,0.23,1.0,3.04,13.0,0.94,4.0,4.68,20.0,15.66,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.23,3.74,,1.0,0.05,,0.94,0.23,,0.0,0.0,0.0,0.23,0.0,29.5,31.0,7.25,20.0,4.68,0.65,0.0,7.0,1.64,,2.0,0.0,1.0,10.0,2.34,4.0,,,,,,,,,,,,0.0,140.0,,10.73,0.67,,12.0,5.05,0.04,0.15,,,,,,,,,5.0,,1.0,1.0,,0.04,-0.15,0.01,0.05,,,7.0,127.0,8.0,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,176
Ask,Wellington Oliveira,2000308588,AM (R),Inverted Winger,Support,Speed,Team Player,"M (C), AM (RC)",Bahia,,Brazil (Brasileirão Assaí),$32K,"$24,500 p/a",2026-12-31,BRA,,-,"5'9""",152 lbs,Right,20.0,,Scouting Required,$30K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,152
,Yvan Mboudou Mballa,13177233,-,Unknown,Unknown,Unknown,Unknown,D (C),UMS Loum,,Cameroon (Elite One),-,"$8,750 p/a",2027-06-30,CMR,,-,"6'3""",187 lbs,Unknown,31.0,,Scouting Required,Not for Sale,2,2.0,180.0,90.0,7.25,,,0.0,,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,1.0,0.5,99.0,49.5,90.0,45.0,0.91,1.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.5,0.0,0.0,3.0,6.0,2.0,4.0,4.0,8.0,17.0,2.0,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,3.0,,0.0,0.0,,1.5,,,0.5,0.0,0.0,,0.0,14.4,21.0,10.5,20.0,10.0,0.95,1.0,4.0,2.0,,2.0,1.0,0.0,2.0,1.0,3.0,,,,,,,,,,,,0.0,55.0,,1.0,1.0,,2.0,1.5,0.0,0.0,,,,,,,,,1.0,,1.0,0.0,,0.0,0.0,0.05,0.1,,,,53.0,1.0,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,187
Loa,Bayan Tiéku,2002084662,-,Unknown,Unknown,Unknown,Unknown,D (L),Accra Lions FC,,Ghana (Premier League),-,"$6,500 p/a",2026-07-31,GHA,,-,"5'8""",141 lbs,Unknown,20.0,,Scouting Required,Unknown,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,141
,Iddrisu Shaibu,2000140002,D (L),Inverted Wing-Back,Defend,Speed,Heading,D/WB (L),Real Tamale,,Ghana (Division One League),-,"$6,000 p/a",2026-07-31,GHA,,-,"5'8""",143 lbs,Left,25.0,Balanced,Media-friendly,$0 - $24K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,9.0,8.0,2.0,9.0,9.0,14.0,5.0,6.0,1.0,3.0,1.0,8.0,3.0,9.0,14.0,3.0,7.0,12,9.0,3.0,4.0,5.0,1.0,5.0,7.0,3.0,3.0,5.0,10.0,5.0,1.0,7.0,9.0,14.0,11.0,5.0,6.0,6.0,4.0,2.0,9.0,9.0,8.0,14.0,14.0,3.0,13.0,5.67,143
Inj,Prince Okraku,13229284,-,Unknown,Unknown,Speed,Team Player,ST (C),Vision FC,,Ghana (Premier League),$7.5K,"$6,500 p/a",2026-07-31,GHA,,-,"6'1""",160 lbs,Right,29.0,Fairly Ambitious,Media-friendly,$7K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,68.0,18.0,5.0,5.0,,8.0,,,2.0,9.0,,,1.0,,9.0,5.0,12.0,,11.0,8-10,,,5.0,,,12.0,12.0,,,9.0,12.0,12.0,,11.0,9.0,10.0,1.0,,,,,,,,,,12.0,,12.0,6.08,160
